Time,x_d,y_d,theta_d,v_d,delta_
0,0,0,0,1,0
0.050388,0.050694,0,0,1,0
0.100776,0.101389,0,0,1,0
0.151164,0.152083,0,0,1,0
0.201551,0.202778,0,0,1,0
0.251939,0.253472,0,0,1,0
0.302327,0.304167,0,0,1,0
0.352715,0.354861,0,0,1,0
0.403103,0.405556,0,0,1,0
0.453491,0.45625,0,0,1,0
0.503879,0.506944,0,0,1,0
0.554267,0.557639,0,0,1,0
0.604654,0.608333,0,0,1,0
0.655042,0.659028,0,0,1,0
0.70543,0.709722,0,0,1,0
0.755818,0.760417,0,0,1,0
0.806206,0.811111,0,0,1,0
0.856594,0.861806,0,0,1,0
0.906982,0.9125,0,0,1,0
0.95737,0.963194,0,0,1,0
1.007757,1.013889,0,0,1,0
1.058145,1.064583,0,0,1,0
1.108533,1.115278,0,0,1,0
1.158921,1.165972,0,0,1,0
1.209309,1.216667,0,0,1,0
1.259697,1.267361,0,0,1,0
1.310085,1.318056,0,0,1,0
1.360473,1.36875,0,0,1,0
1.41086,1.419444,0,0,1,0
1.461248,1.470139,0,0,1,0
1.511636,1.520833,0,0,1,0
1.562024,1.571528,0,0,1,0
1.612412,1.622222,0,0,1,0
1.6628,1.672917,0,0,1,0
1.713188,1.723611,0,0,1,0
1.763576,1.774306,0,0,1,0
1.813963,1.825,0,0,1,0
1.864351,1.875694,0,0,1,0
1.914739,1.926389,0,0,1,0
1.965127,1.977083,0,0,1,0
2.015515,2.027778,0,0,1,0
2.065903,2.078472,0,0,1,0
2.116291,2.129167,0,0,1,0
2.166679,2.179861,0,0,1,0
2.217066,2.230556,0,0,1,0
2.267454,2.28125,0,0,1,0
2.317842,2.331944,0,0,1,0
2.36823,2.382639,0,0,1,0
2.418618,2.433333,0,0,1,0
2.469006,2.484028,0,0,1,0
2.519394,2.534722,0,0,1,0
2.569782,2.585417,0,0,1,0
2.620169,2.636111,0,0,1,0
2.670557,2.686806,0,0,1,0
2.720945,2.7375,0,0,1,0
2.771333,2.788194,0,0,1,0
2.821721,2.838889,0,0,1,0
2.872109,2.889583,0,0,1,0
2.922497,2.940278,0,0,1,0
2.972884,2.990972,0,0,1,0
3.023272,3.041667,0,0,1,0
3.07366,3.092361,0,0,1,0
3.124048,3.143056,0,0,1,0
3.174436,3.19375,0,0,1,0
3.224824,3.244444,0,0,1,0
3.275212,3.295139,0,0,1,0
3.3256,3.345833,0,0,1,0
3.375987,3.396528,0,0,1,0
3.426375,3.447222,0,0,1,0
3.476763,3.497917,0,0,1,0
3.527151,3.548611,0,0,1,0
3.577539,3.599306,0,0,1,0
3.627927,3.65,0,0,1,0
3.678315,3.65,0,-0,1.024394,0.218669
3.728703,3.701709,0.000991,0.038312,1.024394,0.218669
3.77909,3.753341,0.003961,0.076624,1.024394,0.218669
3.829478,3.804823,0.008907,0.114936,1.024394,0.218669
3.879866,3.856077,0.015821,0.153248,1.024394,0.218669
3.930254,3.907028,0.024694,0.191561,1.024394,0.218669
3.980642,3.957602,0.035511,0.229873,1.024394,0.218669
4.03103,4.007725,0.048258,0.268185,1.024394,0.218669
4.081418,4.057323,0.062915,0.306497,1.024394,0.218669
4.131806,4.106323,0.079461,0.344809,1.024394,0.218669
4.182193,4.154653,0.097872,0.383121,1.024394,0.218669
4.232581,4.202243,0.11812,0.421433,1.024394,0.218669
4.282969,4.249022,0.140176,0.459745,1.024394,0.218669
4.333357,4.294922,0.164008,0.498057,1.024394,0.218669
4.383745,4.339875,0.189581,0.536369,1.024394,0.218669
4.434133,4.383816,0.216857,0.574682,1.024394,0.218669
4.484521,4.42668,0.245795,0.612994,1.024394,0.218669
4.534909,4.468404,0.276355,0.651306,1.024394,0.218669
4.585296,4.508927,0.30849,0.689618,1.024394,0.218669
4.635684,4.54819,0.342153,0.72793,1.024394,0.218669
4.686072,4.586134,0.377296,0.766242,1.024394,0.218669
4.73646,4.622704,0.413866,0.804554,1.024394,0.218669
4.786848,4.657847,0.45181,0.842866,1.024394,0.218669
4.837236,4.69151,0.491073,0.881178,1.024394,0.218669
4.887624,4.723645,0.531596,0.919491,1.024394,0.218669
4.938012,4.754205,0.57332,0.957803,1.024394,0.218669
