Time,x_d,y_d,theta_d,v_d,delta_
0,0,-3,0,1,0
0.050251,0.050251,-3,0,1,0
0.100503,0.100503,-3,0,1,0
0.150754,0.150754,-3,0,1,0
0.201005,0.201005,-3,0,1,0
0.251256,0.251256,-3,0,1,0
0.301508,0.301508,-3,0,1,0
0.351759,0.351759,-3,0,1,0
0.40201,0.40201,-3,0,1,0
0.452261,0.452261,-3,0,1,0
0.502513,0.502513,-3,0,1,0
0.552764,0.552764,-3,0,1,0
0.603015,0.603015,-3,0,1,0
0.653266,0.653266,-3,0,1,0
0.703518,0.703518,-3,0,1,0
0.753769,0.753769,-3,0,1,0
0.80402,0.80402,-3,0,1,0
0.854271,0.854271,-3,0,1,0
0.904523,0.904523,-3,0,1,0
0.954774,0.954774,-3,0,1,0
1.005025,1.005025,-3,0,1,0
1.055276,1.055276,-3,0,1,0
1.105528,1.105528,-3,0,1,0
1.155779,1.155779,-3,0,1,0
1.20603,1.20603,-3,0,1,0
1.256281,1.256281,-3,0,1,0
1.306533,1.306533,-3,0,1,0
1.356784,1.356784,-3,0,1,0
1.407035,1.407035,-3,0,1,0
1.457286,1.457286,-3,0,1,0
1.507538,1.507538,-3,0,1,0
1.557789,1.557789,-3,0,1,0
1.60804,1.60804,-3,0,1,0
1.658291,1.658291,-3,0,1,0
1.708543,1.708543,-3,0,1,0
1.758794,1.758794,-3,0,1,0
1.809045,1.809045,-3,0,1,0
1.859296,1.859296,-3,0,1,0
1.909548,1.909548,-3,0,1,0
1.959799,1.959799,-3,0,1,0
2.01005,2.01005,-3,0,1,0
2.060302,2.060302,-3,0,1,0
2.110553,2.110553,-3,0,1,0
2.160804,2.160804,-3,0,1,0
2.211055,2.211055,-3,0,1,0
2.261307,2.261307,-3,0,1,0
2.311558,2.311558,-3,0,1,0
2.361809,2.361809,-3,0,1,0
2.41206,2.41206,-3,0,1,0
2.462312,2.462312,-3,0,1,0
2.512563,2.512563,-3,0,1,0
2.562814,2.562814,-3,0,1,0
2.613065,2.613065,-3,0,1,0
2.663317,2.663317,-3,0,1,0
2.713568,2.713568,-3,0,1,0
2.763819,2.763819,-3,0,1,0
2.81407,2.81407,-3,0,1,0
2.864322,2.864322,-3,0,1,0
2.914573,2.914573,-3,0,1,0
2.964824,2.964824,-3,0,1,0
3.015075,3.015075,-3,0,1,0
3.065327,3.065327,-3,0,1,0
3.115578,3.115578,-3,0,1,0
3.165829,3.165829,-3,0,1,0
3.21608,3.21608,-3,0,1,0
3.266332,3.266332,-3,0,1,0
3.316583,3.316583,-3,0,1,0
3.366834,3.366834,-3,0,1,0
3.417085,3.417085,-3,0,1,0
3.467337,3.467337,-3,0,1,0
3.517588,3.517588,-3,0,1,0
3.567839,3.567839,-3,0,1,0
3.61809,3.61809,-3,0,1,0
3.668342,3.668342,-3,0,1,0
3.718593,3.718593,-3,0,1,0
3.768844,3.768844,-3,0,1,0
3.819095,3.819095,-3,0,1,0
3.869347,3.869347,-3,0,1,0
3.919598,3.919598,-3,0,1,0
3.969849,3.969849,-3,0,1,0
4.020101,4.020101,-3,0,1,0
4.070352,4.070352,-3,0,1,0
4.120603,4.120603,-3,0,1,0
4.170854,4.170854,-3,0,1,0
4.221106,4.221106,-3,0,1,0
4.271357,4.271357,-3,0,1,0
