Time,x_d,y_d,theta_d,v_d,delta_
0,-0,0,-0,0.961143,0.197396
0.050505,0.048077,0.000771,0.032057,0.961143,0.197396
0.10101,0.096105,0.003082,0.064114,0.961143,0.197396
0.151515,0.144035,0.006931,0.096171,0.961143,0.197396
0.20202,0.191816,0.012315,0.128228,0.961143,0.197396
0.252525,0.2394,0.019227,0.160285,0.961143,0.197396
0.30303,0.286738,0.027661,0.192342,0.961143,0.197396
0.353535,0.333781,0.037608,0.224399,0.961143,0.197396
0.40404,0.380482,0.049058,0.256457,0.961143,0.197396
0.454545,0.426791,0.061998,0.288514,0.961143,0.197396
0.505051,0.472662,0.076416,0.320571,0.961143,0.197396
0.555556,0.518048,0.092297,0.352628,0.961143,0.197396
0.606061,0.562901,0.109625,0.384685,0.961143,0.197396
0.656566,0.607175,0.128381,0.416742,0.961143,0.197396
0.707071,0.650826,0.148547,0.448799,0.961143,0.197396
0.757576,0.693807,0.170101,0.480856,0.961143,0.197396
0.808081,0.736076,0.193022,0.512913,0.961143,0.197396
0.858586,0.777589,0.217286,0.54497,0.961143,0.197396
0.909091,0.818302,0.242868,0.577027,0.961143,0.197396
0.959596,0.858175,0.269742,0.609084,0.961143,0.197396
1.010101,0.897166,0.29788,0.641141,0.961143,0.197396
1.060606,0.935235,0.327253,0.673198,0.961143,0.197396
1.111111,0.972343,0.357831,0.705255,0.961143,0.197396
1.161616,1.008451,0.389583,0.737313,0.961143,0.197396
1.212121,1.043524,0.422476,0.76937,0.961143,0.197396
1.262626,1.077524,0.456476,0.801427,0.961143,0.197396
1.313131,1.110417,0.491549,0.833484,0.961143,0.197396
1.363636,1.142169,0.527657,0.865541,0.961143,0.197396
1.414141,1.172747,0.564765,0.897598,0.961143,0.197396
1.464646,1.20212,0.602834,0.929655,0.961143,0.197396
1.515152,1.230258,0.641825,0.961712,0.961143,0.197396
1.565657,1.257132,0.681698,0.993769,0.961143,0.197396
1.616162,1.282714,0.722411,1.025826,0.961143,0.197396
1.666667,1.306978,0.763924,1.057883,0.961143,0.197396
1.717172,1.329899,0.806193,1.08994,0.961143,0.197396
1.767677,1.351453,0.849174,1.121997,0.961143,0.197396
1.818182,1.371619,0.892825,1.154054,0.961143,0.197396
1.868687,1.390375,0.937099,1.186112,0.961143,0.197396
1.919192,1.407703,0.981952,1.218169,0.961143,0.197396
1.969697,1.423584,1.027338,1.250226,0.961143,0.197396
2.020202,1.438002,1.073209,1.282283,0.961143,0.197396
2.070707,1.450942,1.119518,1.31434,0.961143,0.197396
2.121212,1.462392,1.166219,1.346397,0.961143,0.197396
2.171717,1.472339,1.213262,1.378454,0.961143,0.197396
2.222222,1.480773,1.2606,1.410511,0.961143,0.197396
2.272727,1.487685,1.308184,1.442568,0.961143,0.197396
2.323232,1.493069,1.355965,1.474625,0.961143,0.197396
2.373737,1.496918,1.403895,1.506682,0.961143,0.197396
2.424242,1.499229,1.451923,1.538739,0.961143,0.197396
2.474747,1.5,1.5,1.570796,0.961143,0.197396
2.525253,1.5,1.5,1.570796,0.961143,0.197396
2.575758,1.499229,1.548077,1.602853,0.961143,0.197396
2.626263,1.496918,1.596105,1.63491,0.961143,0.197396
2.676768,1.493069,1.644035,1.666968,0.961143,0.197396
2.727273,1.487685,1.691816,1.699025,0.961143,0.197396
2.777778,1.480773,1.7394,1.731082,0.961143,0.197396
2.828283,1.472339,1.786738,1.763139,0.961143,0.197396
2.878788,1.462392,1.833781,1.795196,0.961143,0.197396
2.929293,1.450942,1.880482,1.827253,0.961143,0.197396
2.979798,1.438002,1.926791,1.85931,0.961143,0.197396
3.030303,1.423584,1.972662,1.891367,0.961143,0.197396
3.080808,1.407703,2.018048,1.923424,0.961143,0.197396
3.131313,1.390375,2.062901,1.955481,0.961143,0.197396
3.181818,1.371619,2.107175,1.987538,0.961143,0.197396
3.232323,1.351453,2.150826,2.019595,0.961143,0.197396
3.282828,1.329899,2.193807,2.051652,0.961143,0.197396
